,Index,Name,review,preprocessed_review,label
0,0,Jamir,I�m not a phone fanatic but here is my simple and honest review.,im phone fanatic simple honest review,1
1,1,Drieza,"Coming from android to iphone its just phenomenal. Its buttery smooth, no lag what soever, camera is top notch like its top quality.",coming android iphone phenomenal buttery smooth lag soever camera top notch like top quality,1
2,2,RamLagan Yadav,iPhone 13 is very bad no response of company iam sad,iphone 13 bad response company iam sad,-1
3,3,vineet vs,"I took this phone in Feb , after using it for a month , it�s almost good but when it comes to camera , it�s bit worst compared to android , not up to the mark and even if u have full network u will not get a proper internet connection , every time the network gets up and down and literally u will get disappointed. Literally my decision from shifting android to iPhone was bit worse . I suggest to stick with android only .",took phone feb using month almost good come camera bit worst compared android mark even u full network u get proper internet connection every time network get literally u get disappointed literally decision shifting android iphone bit worse suggest stick android,-1
4,4,Vipul,Man undoubtedly most satisfying phone on the planet,man undoubtedly satisfying phone planet,1
5,5,krishna,Amazing Deal. ?????! ????? ??? ??? ???????????!,amazing deal,1
6,6,Amazon Customer,I�m writing this review after 2 months. If you�re planning to buy a iphone then purchase 13 not 14. Because there are no major upgrades or variations. If your old phone is iphone 11 then you can upgrade to 13 or 14.,im writing review 2 month youre planning buy iphone purchase 13 14 major upgrade variation old phone iphone 11 upgrade 13 14,-1
7,7,Praveen,Awesome,awesome,1
8,8,Selva Bharathi,Superb,superb,1
9,9,Aman Pratap,"Camera quality is good , front camera quality is very bad! battery life is very decent if you play games on it like Call of Duty it will not last long, but games runs so smoothly! Screen size is small, face id works perfect, No bugs! Display quality is best, All i want to say is spending this much money and getting least things is not worth, but its apple?? (we shell not talk about worth of money)",camera quality good front camera quality bad battery life decent play game like call duty last long game run smoothly screen size small face id work perfect bug display quality best want say spending much money getting least thing worth apple shell talk worth money,1
10,10,Y.Sambasiva Rao,Super,super,1
11,11,Pallavi Meshram,"This is my first time using apple product and I am happy I switched from android to iPhone, worth the money. And I think there is no going back to android for me.",first time using apple product happy switched android iphone worth money think going back android,1
12,12,Ritesh Sejwal,Phone is ok but strongly say that I Phone company is a very Small Mind it to say because they have a Good quality phone but they do not have a Adeptor...!! Why customers going to another window or shop by another make it will be available on box with phone.,phone ok strongly say phone company small mind say good quality phone adeptor customer going another window shop another make available box phone,1
13,13,Koushik Karmakar,Likes -,like,1
14,14,Joel Raju,Switching back to an iPhone and I love it.,switching back iphone love,1
15,15,Raj,Overall Good,overall good,1
16,16,DHRUVIL,Amazing ??,amazing,1
17,17,Gunjan tiwari,Oh so pro really I love it,oh pro really love,1
18,18,SEEM SPARES,Got it on an amazing deal. Phone is working well,got amazing deal phone working well,1
19,19,Amit Singh,All is good (Product/Seller/delivery).,good productsellerdelivery,1
20,20,Amazon Customer,???? love this,love,1
21,21,pritesh pawar,Very good performance and camera quality.,good performance camera quality,1
22,22,Rudru,Just a superb phone !!!,superb phone,1
23,23,Himanshu Goel,Switched from android to IPhone,switched android iphone,0
24,24,DEVARAJAN V,Great,great,1
25,25,Shivam patel,Just got for 64990 on Amazon prime day sale????,got 64990 amazon prime day sale,1
26,26,Shalabh Saxena,Trustworthy Brand,trustworthy brand,1
27,27,Prakash Sharma,Nice product,nice product,1
28,28,Rapipay ,Nice phone,nice phone,1
29,29,Shaik Inthiyaz ali,I got phone in just 8 hours gap. Loved the phone and delivery time,got phone 8 hour gap loved phone delivery time,1
30,30,Sameer adhate,"Everything is good with this phone like camera(highly impressive video quality), battery life(normal use-more than 10hrs,Gaming-4-5hrs), performance(best). But con for me is it takes 1and half hour to charge(good factor-it takes 30mins for 50percent charge). Other than that a great phone for normal use and for gaming.writing this after 6months usage.",everything good phone like camerahighly impressive video quality battery lifenormal usemore 10hrsgaming45hrs performancebest con take 1and half hour chargegood factorit take 30mins 50percent charge great phone normal use gamingwriting 6months usage,1
31,31,Manisha Pamnani,Good product with easy delivery,good product easy delivery,1
32,32,Rumpi Rockstar,The performance is amazing with a classic look. The screen size is perfect. Nice UI with a smooth performance.,performance amazing classic look screen size perfect nice ui smooth performance,1
33,33,Amazon Customer,Battery life not up to mark,battery life mark,0
34,34,ansuman panda,"So when you buy the first apple iphone, after using samsung for quite a long time, the expectations are a bit on the higher side. But there are certain short comings. My brief idea after using an iPhone 13 for 1 month
Pros
1- the screen is amazing, no doubt about it. The pictures are crisp and viewing angles are good as well
2- the battery backup is good and if compared to a samsung s20+ it's ground breaking.
3- sound on this tiny bit of equipment is so loud and clear.
The bitter sweetness: the much touted camera is good but if compared to the same phone bought from a brick and mortar shop, the difference is staggering. The camera seems to be off and dull.
Cons: even the battery is small, the charging still takes a lot of time.",buy first apple iphone using samsung quite long time expectation bit higher side certain short coming brief idea using iphone 13 1 month pro 1 screen amazing doubt picture crisp viewing angle good well 2 battery backup good compared samsung s20 ground breaking 3 sound tiny bit equipment loud clear bitter sweetness much touted camera good compared phone bought brick mortar shop difference staggering camera seems dull con even battery small charging still take lot time,1
35,35,Mar,A �more than capable� device smothered by a hefty price tag.,capable device smothered hefty price tag,-1
36,36,Suresh kumar,"The I phone 13 was very nice and I liked it ,I request to send an invoice of the product to my e mail",phone 13 nice liked request send invoice product e mail,1
37,37,Amazon Customer,Best,best,1
38,38,Amazon Customer,This is my first iPhone,first iphone,0
39,39,Amazon Customer,"It�s only about only 2 months my charger cable not worming any more, what should indo",2 month charger cable worming indo,0
40,40,Amazon Customer,No doubt over the performace and build quality.,doubt performace build quality,1
41,41,Amazon Customer,Yes i love it??,yes love,1
42,42,Ajay,Quality over quantity. Loved it??,quality quantity loved,1
43,43,Amazon Customer,Full day with 100% Battery Camera quality was best,full day 100 battery camera quality best,1
